,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI
48,5.23,0.0,5.25,28,0,36,1.05,1,0,1,0.93,0.0,0.83,2215,0,2671,79.11,0.0,74.19,2215.0,2671.0,7.5,6.0,5.0,0.0,0.0,5.0,7.0,5.0,5.0,4.5,5.0,5.0,3.5,7.0,5.0,7.5,0.0,5.5,2,8,0.0,0.0,0.0,1.0,2.0,6.0,0.8091,1232.0,28.0,41.0,54.89,42.0,0.0,0.0,5.5
49,5.21,5.25,5.16,17,2,28,0.79,1,0,1,0.41,0.0,0.61,731,33,1600,43.0,16.5,57.14,731.0,1600.0,8.0,5.25,5.583333333333333,5.0,5.5,0.0,0.0,0.0,5.5,4.5,0.0,5.0,8.0,5.0,4.5,5.0,5.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.8215,500.0,13.0,9.0,56.9,9.0,0.0,0.0,5.0
50,5.19,0.0,5.09,21,0,27,0.7,1,0,1,0.48,0.0,0.59,1120,0,1625,53.33,0.0,60.19,1120.0,1625.0,6.5,5.5,5.416666666666667,0.0,0.0,6.5,4.5,0.0,6.5,4.5,5.5,5.0,0.0,0.0,5.5,5.0,0.0,0.0,2,6,0.0,0.0,0.0,0.0,2.0,7.0,0.7694,640.0,11.0,19.0,52.25,27.0,0.0,0.0,3.5
51,5.19,5.19,5.19,31,31,31,1.07,1,1,1,1.0,1.0,1.0,2788,2788,2788,89.94,89.94,89.94,2788.0,2788.0,7.5,5.0,5.111111111111111,5.5,5.5,4.0,5.0,0.0,3.0,4.5,5.5,5.5,7.5,6.5,4.5,5.0,6.0,5.5,4,9,0.0,0.0,0.0,0.0,0.0,2.0,0.8498,2133.0,42.0,15.0,58.23,17.0,0.0,0.0,6.0
52,5.19,7.0,5.07,21,1,29,1.3,1,1,1,0.95,1.0,0.97,1792,90,2501,85.33,90.0,86.24,1792.0,2501.0,7.0,5.5,5.333333333333333,0.0,7.0,0.0,4.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,5.5,0.0,2,6,0.0,0.0,0.0,2.0,1.0,7.0,0.7839,1444.0,28.0,34.0,63.46,17.0,0.0,0.0,4.25
53,5.17,0.0,5.08,18,0,25,0.84,1,0,1,0.89,0.0,0.76,1435,0,1759,79.72,0.0,70.36,1435.0,1759.0,5.5,0.0,4.7,0.0,0.0,0.0,0.0,5.0,4.5,5.0,0.0,5.0,4.0,4.5,5.0,7.0,6.5,5.5,0,5,0.0,0.0,0.0,0.0,1.0,5.0,0.7221,1066.0,21.0,33.0,64.37,14.0,0.0,0.0,5.0
54,5.17,0.0,5.33,3,0,6,0.76,1,0,1,1.0,0.0,1.0,236,0,434,78.67,0.0,72.33,236.0,434.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8756,206.0,2.0,4.0,63.33,4.0,0.0,0.0,0.0
55,5.17,5.63,5.19,26,4,35,0.93,1,0,1,1.0,1.0,1.0,2288,360,3098,88.0,90.0,88.51,2288.0,3098.0,4.5,5.625,5.4375,6.0,5.0,6.0,5.5,0.0,5.5,4.0,5.5,6.0,0.0,0.0,0.0,5.0,3.0,6.0,4,8,0.0,0.0,0.0,0.0,2.0,4.0,0.7801,1864.0,21.0,12.0,63.74,23.0,0.0,0.0,5.5
56,5.17,5.75,5.08,6,2,12,0.93,1,1,1,0.17,0.5,0.17,95,78,177,15.83,39.0,14.75,95.0,177.0,7.0,5.75,5.3,4.5,7.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,4.5,0.0,0.0,0.0,0.0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7845,85.0,2.0,5.0,70.83,0.0,0.0,0.0,0.0
57,5.16,5.16,5.2,29,29,38,1.05,1,1,1,1.0,1.0,1.0,2609,2609,3419,89.97,89.97,89.97,2609.0,3419.0,6.0,5.166666666666667,5.5,0.0,5.5,6.0,4.0,0.0,5.5,6.5,0.0,5.0,6.0,5.0,4.5,6.0,6.0,3.5,3,7,0.0,0.0,0.0,0.0,0.0,2.0,0.8846,2728.0,26.0,14.0,60.24,15.0,0.0,0.0,6.0
58,5.15,5.17,5.15,17,9,17,0.98,1,1,1,0.71,1.0,0.71,990,793,990,58.24,88.11,58.24,990.0,990.0,7.0,4.25,5.166666666666667,3.0,4.5,4.5,5.0,5.0,5.5,5.5,7.0,6.5,0.0,0.0,0.0,0.0,7.0,5.0,4,9,0.0,0.0,1.0,0.0,0.0,3.0,0.8044,638.0,10.0,11.0,42.55,17.0,0.0,0.0,4.5
59,5.14,4.63,5.14,21,4,21,0.48,1,0,1,0.67,0.5,0.67,1043,226,1043,49.67,56.5,49.67,1043.0,1043.0,6.0,4.625,4.785714285714286,5.0,4.5,4.5,4.5,0.0,5.0,0.0,0.0,5.0,5.0,6.0,4.5,6.0,5.0,5.0,4,7,0.0,0.0,0.0,0.0,0.0,1.0,0.7815,511.0,13.0,12.0,55.1,14.0,0.0,0.0,5.5
60,5.13,5.13,5.09,31,31,38,0.9,1,1,2,0.87,0.87,0.87,2401,2401,2954,77.45,77.45,77.74,2401.0,1477.0,6.0,5.625,5.222222222222222,7.0,5.0,6.5,4.0,0.0,5.5,3.5,6.0,5.5,4.0,5.0,5.0,5.0,5.0,4.5,4,9,0.0,0.0,0.0,2.0,2.0,11.0,0.7091,1177.0,47.0,34.0,50.89,43.0,0.0,0.0,4.5
61,5.11,5.5,5.03,9,7,16,1.29,1,1,2,0.89,1.0,0.88,742,630,1329,82.44,90.0,83.06,742.0,665.0,5.5,5.25,5.5,6.0,4.0,4.0,7.0,6.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0,0.0,1.0,1.0,1.0,0.0,0.6968,402.0,9.0,1.0,68.75,5.0,0.0,0.0,0.0
62,5.11,0.0,5.11,27,0,27,1.01,1,0,1,0.89,0.0,0.89,2116,0,2116,78.37,0.0,78.37,2116.0,2116.0,5.5,5.5,5.214285714285714,0.0,0.0,6.0,5.0,0.0,6.0,2.5,6.0,6.0,5.0,5.5,5.5,5.0,5.0,0.0,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.8278,1846.0,35.0,30.0,61.54,21.0,0.0,0.0,5.0
63,5.1,5.38,5.1,24,4,29,0.88,1,0,1,0.79,1.0,0.69,1697,336,1892,70.71,84.0,65.24,1697.0,1892.0,7.0,5.375,5.166666666666667,5.0,6.0,5.5,5.0,0.0,5.0,0.0,0.0,0.0,4.5,4.5,5.0,5.0,5.0,7.0,4,6,0.0,0.0,1.0,0.0,1.0,6.0,0.7284,1229.0,19.0,21.0,62.31,21.0,0.0,0.0,4.0
64,5.09,0.0,5.09,11,0,11,0.86,1,0,1,0.55,0.0,0.55,527,0,527,47.91,0.0,47.91,527.0,527.0,6.5,0.0,4.9,0.0,0.0,0.0,0.0,0.0,4.0,5.5,4.5,5.0,5.5,3.5,5.5,0.0,0.0,5.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7395,344.0,9.0,7.0,44.59,7.0,0.0,0.0,0.0
65,5.08,5.08,5.11,32,32,42,1.12,1,1,1,1.0,1.0,1.0,2880,2880,3737,90.0,90.0,88.98,2880.0,3737.0,7.5,5.0,5.1,5.5,4.5,4.0,6.0,5.0,6.0,4.5,5.0,6.5,4.0,7.5,3.5,5.0,3.0,5.5,4,10,0.0,0.0,0.0,1.0,5.0,7.0,0.796,1898.0,36.0,23.0,62.99,36.0,0.0,0.0,4.5
66,5.08,5.02,5.07,30,23,36,1.11,1,0,1,0.9,0.87,0.92,2301,1729,2841,76.7,75.17,78.92,2301.0,2841.0,8.0,5.25,5.388888888888889,5.0,7.0,5.5,3.5,0.0,4.5,6.5,4.5,7.0,5.0,3.5,5.0,3.5,4.0,6.0,4,9,0.0,0.0,1.0,6.0,21.0,27.0,0.7399,2507.0,34.0,35.0,53.16,19.0,0.0,0.0,4.0
67,5.08,6.0,5.0,12,1,21,0.76,1,1,2,0.67,0.0,0.71,854,49,1438,71.17,49.0,68.48,854.0,719.0,6.0,5.5,5.5,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8248,604.0,15.0,8.0,54.0,9.0,0.0,0.0,6.0
68,5.07,0.0,5.1,22,0,30,0.74,1,0,1,0.86,0.0,0.9,1617,0,2331,73.5,0.0,77.7,1617.0,2331.0,7.0,5.0,5.0,0.0,0.0,4.5,5.5,4.5,5.5,3.5,5.0,7.0,4.5,6.5,4.5,4.5,5.0,5.5,2,8,0.0,0.0,0.0,0.0,3.0,8.0,0.747,990.0,21.0,26.0,60.71,9.0,0.0,0.0,4.5
69,5.06,5.13,5.12,31,15,39,1.18,1,1,1,1.0,1.0,1.0,2789,1349,3492,89.97,89.93,89.54,2789.0,3492.0,7.0,6.0,5.35,6.0,6.0,7.0,5.0,3.0,5.5,5.0,6.0,5.0,5.0,5.5,5.0,4.5,2.0,6.5,4,10,0.0,0.0,0.0,0.0,1.0,1.0,0.8357,2119.0,39.0,23.0,60.49,21.0,0.0,0.0,5.5
70,5.05,0.0,5.02,19,0,21,0.88,1,0,1,0.84,0.0,0.81,1503,0,1654,79.11,0.0,78.76,1503.0,1654.0,5.5,3.5,4.6,0.0,0.0,0.0,3.5,0.0,0.0,3.0,5.0,6.0,5.5,5.5,4.5,5.0,5.0,5.0,1,5,0.0,0.0,0.0,0.0,0.0,2.0,0.8082,1204.0,26.0,16.0,56.57,11.0,0.0,0.0,0.0
71,5.05,5.15,5.05,29,17,29,1.3,1,1,1,0.86,0.76,0.86,2150,1235,2150,74.14,72.65,74.14,2150.0,2150.0,7.0,5.875,5.5,5.5,6.0,7.0,5.0,0.0,5.0,6.0,5.0,4.0,6.0,6.5,5.0,6.0,5.5,5.0,4,9,0.0,0.0,0.0,1.0,2.0,9.0,0.775,1260.0,12.0,38.0,51.71,33.0,0.0,0.0,5.0
72,5.0,0.0,5.0,24,0,25,1.22,1,0,1,0.96,0.0,0.96,1970,0,2015,82.08,0.0,80.6,1970.0,2015.0,7.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,4.5,6.0,7.5,5.0,3.5,5.0,7.0,6.0,1,6,0.0,0.0,0.0,2.0,6.0,9.0,0.8397,1858.0,26.0,23.0,53.57,40.0,0.0,0.0,4.0
73,5.0,0.0,5.05,15,0,20,1.21,1,0,1,0.67,0.0,0.7,770,0,1081,51.33,0.0,54.05,770.0,1081.0,6.5,4.75,4.75,0.0,0.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,1.0,2.0,0.679,335.0,8.0,16.0,60.0,19.0,0.0,0.0,5.0
74,4.97,5.67,4.97,18,3,18,0.88,1,0,1,0.89,1.0,0.89,1454,270,1454,80.78,90.0,80.78,1454.0,1454.0,6.0,5.666666666666667,5.125,5.5,6.0,5.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.5,5.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.7545,1040.0,21.0,8.0,64.08,13.0,0.0,0.0,5.0
75,4.96,5.25,5.11,12,2,19,0.86,1,0,1,0.83,1.0,0.89,966,137,1596,80.5,68.5,84.0,966.0,1596.0,6.0,5.25,5.071428571428571,0.0,4.5,6.0,0.0,5.0,5.0,6.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0.0,0.0,0.0,0.0,0.0,2.0,0.8629,866.0,26.0,16.0,64.91,8.0,0.0,0.0,0.0
