,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
2656,Piccoli Roberto,A,3.0,4.0,4.5,0.0,4.21,4,0,12,0.71,0.0,0.58,0,0,0,0.5,0.0,0.42,159,0,469,39.75,0.0,39.08,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,38.0,0.0,0.0,29.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,4.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0,3
2657,Igor Julio,DC,8.0,12.0,4.5,4.67,4.97,10,3,31,0.62,0.58,1.01,0,0,0,0.8,0.67,0.81,723,225,2386,72.3,75.0,76.97,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8886,603.0,9.0,5.0,52.54,12.0,0.0,0.0,0.0,4.666666666666667,4.0,5.0,5.0,0.0,0.0,4.5,4.5,4.5,0.0,3.0,5.0,4.5,5.0,0.0,0.0,6.0,3.0,7.0,5.5,3.0,6.0,5.5,6.0,4.5,6.0,6.0,4.0,6.0,5.5,0.0,6.0,6.0,3.5,4.5,5.0,5.0,5.0,0.0,3,7
2658,Ghiglione Paolo,DL,6.0,0.0,4.5,0.0,4.2,5,0,10,0.87,0.0,0.71,0,0,0,1.0,0.0,0.9,380,0,732,76.0,0.0,73.2,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6106,186.0,3.0,3.0,32.26,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,3.5,4.0,1,1
2659,Conti Andrea,DL,1.0,0.0,4.5,0.0,4.88,1,0,8,0.0,0.0,0.58,0,0,1,0.0,0.0,0.13,22,0,172,22.0,0.0,21.5,0.0,172.0,6.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,13.0,0.0,0.0,50.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.5,4.0,6.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0,1
2660,Magnani Giangiacomo,DC,6.0,6.0,4.5,0.0,4.55,4,0,10,0.41,0.0,0.55,0,0,0,0.5,0.0,0.6,142,0,490,35.5,0.0,49.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6106,55.0,5.0,0.0,55.56,4.0,0.0,0.0,3.5,4.25,0.0,0.0,4.0,4.5,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,4.5,0.0,0.0,0.0,0.0,3.5,4.5,4.5,2,4
2661,Defrel Gregoire,A,1.0,3.0,4.5,0.0,4.7,4,0,27,0.0,0.0,0.56,0,0,2,0.25,0.0,0.3,122,0,975,30.5,0.0,36.11,0.0,488.0,6.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5379,40.0,0.0,0.0,33.33,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,4.5,4.0,5.0,5.0,6.0,4.0,0.0,6.0,5.0,4.5,5.0,4.5,6.0,4.5,4.0,4.5,4.5,4.5,5.0,0,0
2662,Quagliarella Fabio,A,8.0,10.0,4.5,4.5,4.65,12,1,30,0.21,0.0,0.77,0,0,3,0.17,0.0,0.3,322,9,987,26.83,9.0,32.9,0.0,329.0,7.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.7354,160.0,0.0,1.0,37.5,3.0,0.0,0.0,0.0,4.5,4.5,0.0,4.5,0.0,0.0,4.5,4.5,4.0,4.5,4.5,4.5,5.0,4.5,4.5,4.5,0.0,7.0,4.5,4.5,4.5,4.0,5.0,4.0,4.5,4.0,4.0,0.0,7.5,4.5,0.0,0.0,4.5,5.0,4.5,5.0,4.5,0.0,4.0,2,7
2663,Ekong Emmanuel,A,4.0,4.0,4.5,0.0,4.5,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,18,0,18,9.0,0.0,9.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2664,Yepes Gerard,MD,7.0,7.0,4.5,4.0,4.72,5,2,9,0.61,0.71,0.51,0,0,0,0.4,0.5,0.22,197,113,214,39.4,56.5,23.78,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.712,136.0,4.0,3.0,51.85,7.0,0.0,0.0,0.0,4.333333333333333,4.5,3.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,3,4
2665,Ruan,DC,3.0,0.0,4.5,0.0,4.5,2,0,11,0.71,0.0,1.73,0,0,0,0.5,0.0,0.18,45,0,242,22.5,0.0,22.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,26.0,2.0,2.0,55.56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,4.5,4.5,0.0,0.0,4.5,0.0,0.0,7.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2666,Listkowski Marcin,MO,1.0,0.0,4.5,0.0,4.5,5,0,5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,73,0,73,14.6,0.0,14.6,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5933,36.0,3.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2667,Pablo Rodríguez,MO,4.0,5.0,4.5,0.0,4.5,4,0,4,0.41,0.0,0.41,0,0,0,0.0,0.0,0.0,50,0,50,12.5,0.0,12.5,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.631,35.0,0.0,1.0,44.44,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2668,Vignato Samuele,MO,4.0,4.0,4.5,4.5,4.5,2,1,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,6,7,3.5,6.0,3.5,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
2669,Leandro Sanca,A,1.0,3.0,4.5,0.0,4.5,3,0,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,22,0,22,7.33,0.0,7.33,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167,18.0,0.0,1.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2670,Hendry Jack,DC,6.0,6.0,4.5,4.0,4.5,3,1,3,0.5,0.0,0.5,0,0,0,0.67,1.0,0.67,187,90,187,62.33,90.0,62.33,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277,130.0,1.0,0.0,64.29,2.0,0.0,0.0,0.0,4.25,4.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
2671,Hrustic Ajdin,MD,4.0,0.0,4.5,0.0,4.5,5,0,5,0.35,0.0,0.35,0,0,0,0.6,0.0,0.6,222,0,222,44.4,0.0,44.4,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.7626,124.0,0.0,1.0,27.59,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,4.5,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
2672,Augello Tommaso,DL,10.0,12.0,4.46,4.33,4.77,14,3,35,0.75,0.29,0.67,0,0,0,0.86,0.67,0.71,1089,206,2383,77.79,68.67,68.09,0.0,0.0,0.0,1000.0,0.5,0.0,0.0,0.0,2.0,1.0,5.0,0.761,771.0,6.0,4.0,49.18,5.0,0.0,0.0,5.0,4.333333333333333,4.5,4.0,4.5,0.0,5.0,4.0,5.0,3.5,4.0,6.0,4.5,5.0,3.0,5.0,4.5,4.5,5.5,4.5,6.5,5.5,5.0,5.0,5.5,5.0,5.5,5.0,0.0,4.5,5.0,5.0,5.0,4.5,4.5,0.0,5.0,5.0,4.5,4.0,3,9
2673,Cancellieri Matteo,A,9.0,9.0,4.46,4.29,4.5,13,7,20,0.32,0.27,0.46,0,0,1,0.08,0.14,0.05,183,114,261,14.08,16.29,13.05,0.0,261.0,6.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6172,111.0,1.0,3.0,52.94,10.0,0.0,0.0,0.0,4.375,4.0,4.5,4.5,4.5,4.0,4.5,4.0,0.0,0.0,5.0,4.5,5.0,4.5,4.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,4.0,0.0,4,8
2674,Bonifazi Kevin,DC,4.0,0.0,4.43,0.0,4.95,7,0,20,0.61,0.0,0.67,0,0,0,0.57,0.0,0.55,415,0,1032,59.29,0.0,51.6,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8644,316.0,6.0,4.0,25.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,4.5,3.5,5.5,0.0,0.0,6.0,5.0,5.0,5.0,5.5,0.0,4.0,0.0,5.0,5.5,5.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,5.5,0,4
2675,Valencia Diego,A,7.0,0.0,4.43,4.5,4.43,7,1,7,0.35,0.0,0.35,0,0,0,0.0,0.0,0.0,138,45,138,19.71,45.0,19.71,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581,68.0,1.0,2.0,45.0,4.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.5,0.0,0.0,5.0,4.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2676,Pirola Lorenzo,DC,7.0,7.0,4.42,4.17,4.42,6,3,6,0.8,0.58,0.8,0,0,0,0.67,0.67,0.67,399,219,399,66.5,73.0,66.5,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8249,249.0,8.0,9.0,56.76,4.0,0.0,0.0,0.0,4.166666666666667,3.5,4.5,4.5,0.0,0.0,3.5,5.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
2677,Machín José,MD,4.0,0.0,4.38,0.0,4.38,4,0,4,0.95,0.0,0.95,0,0,0,0.5,0.0,0.5,170,0,170,42.5,0.0,42.5,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62,138.0,3.0,1.0,30.0,6.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
2678,Gyasi Emmanuel,A,9.0,19.0,4.38,4.5,4.81,13,1,34,0.77,0.0,1.0,0,0,4,1.0,1.0,0.97,1044,60,2794,80.31,60.0,82.18,0.0,699.0,6.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.7957,394.0,3.0,4.0,29.79,15.0,0.0,0.0,3.5,4.25,4.5,0.0,0.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.5,4.0,4.0,3.5,5.5,0.0,7.0,3.5,5.0,4.5,5.0,5.0,6.0,3.0,5.0,4.5,4.5,5.0,4.5,0.0,5.5,7.0,0.0,4.0,5.5,5.0,4.5,7.0,2,8
2679,Zerbin Alessio,MO,3.0,3.0,4.38,0.0,4.38,4,0,4,0.25,0.0,0.25,0,0,0,0.0,0.0,0.0,51,0,51,12.75,0.0,12.75,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,34.0,0.0,1.0,38.46,4.0,0.0,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
2680,Djuric Milan,A,8.0,11.0,4.36,4.5,4.97,11,2,29,0.32,0.0,1.03,0,0,4,0.18,1.0,0.62,277,138,1699,25.18,69.0,58.59,0.0,425.0,6.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3897,140.0,0.0,0.0,69.74,6.0,0.0,0.0,0.0,4.5,4.5,4.5,0.0,4.5,4.0,5.0,4.0,4.0,4.5,0.0,0.0,0.0,4.0,4.5,4.5,3.5,6.0,5.0,6.0,7.0,5.5,4.5,5.0,5.0,7.5,3.5,5.0,7.0,6.0,0.0,0.0,0.0,6.0,5.0,0.0,4.5,0.0,4.0,3,8
2681,Strelec David,A,6.0,6.0,4.36,0.0,4.35,7,0,10,0.38,0.0,0.34,0,0,0,0.14,0.0,0.3,163,0,287,23.29,0.0,28.7,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5637,66.0,0.0,2.0,32.0,4.0,0.0,0.0,0.0,4.75,0.0,0.0,4.5,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.0,0.0,2,3
2682,Karamoh Yann,A,7.0,13.0,4.33,0.0,4.33,6,0,6,0.26,0.0,0.26,0,0,0,0.0,0.0,0.0,123,0,123,20.5,0.0,20.5,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6056,82.0,0.0,1.0,40.63,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6
2683,Traorè Hamed,MO,8.0,10.0,4.33,4.33,5.35,6,6,23,0.93,0.93,1.19,0,0,6,0.33,0.33,0.74,237,237,1382,39.5,39.5,60.09,0.0,230.0,6.0,1000.0,0.5,0.0,0.0,0.0,1.0,1.0,3.0,0.7565,127.0,0.0,0.0,10.71,2.0,0.0,0.0,5.5,3.875,3.5,4.5,4.0,3.5,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5,5.0,0.0,4.5,4.0,8.0,6.5,5.5,7.0,0.0,6.0,7.0,7.0,5.5,0.0,0.0,0.0,0.0,5.5,4.5,5.0,0.0,4,6
2684,Belotti Andrea,A,14.0,27.0,4.33,4.33,4.68,12,12,25,0.62,0.62,1.02,0,0,6,0.17,0.17,0.52,360,360,1258,30.0,30.0,50.32,0.0,210.0,6.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6113,150.0,1.0,2.0,40.0,9.0,0.0,0.0,0.0,4.125,3.0,4.0,4.5,5.0,4.0,4.0,5.0,5.0,5.0,4.5,4.0,4.0,0.0,0.0,0.0,3.0,5.0,4.5,7.5,0.0,4.0,4.0,6.0,4.0,5.0,4.5,6.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10
2685,Afena-Gyan Felix,A,7.0,8.0,4.29,0.0,4.22,7,0,20,0.49,0.0,0.64,0,0,0,0.29,0.0,0.35,217,0,725,31.0,0.0,36.25,0.0,0.0,0.0,1000.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.8562,76.0,0.0,2.0,30.77,7.0,0.0,0.0,0.0,4.0,0.0,3.5,4.5,0.0,4.0,4.5,5.0,4.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.5,5.0,0.0,0.0,4.0,4.5,0.0,0.0,4.0,4.5,4.5,4.5,4.5,4.5,4.0,0.0,2.0,0.0,2,7
2686,Marchizza Riccardo,DC,1.0,0.0,4.25,0.0,4.25,2,0,8,0.35,0.0,0.8,0,0,0,0.0,0.0,0.5,15,0,328,7.5,0.0,41.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8334,10.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.5,3.5,4.5,0.0,0.0,0,1
2687,Faraoni Marco,MO,8.0,13.0,4.25,0.0,4.65,8,0,24,0.8,0.0,0.68,0,0,2,0.88,0.0,0.88,479,0,1694,59.88,0.0,70.58,0.0,847.0,4.5,1000.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.6719,261.0,6.0,5.0,38.89,4.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,3.0,3.5,4.5,5.0,0.0,0.0,0.0,0.0,4.5,0.0,5.0,3.5,4.0,0.0,6.0,5.0,4.5,5.5,4.0,5.0,0.0,4.5,5.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,4.0,5.0,5.0,5.0,2,5
2688,Coppola Diego,DC,1.0,0.0,4.25,0.0,3.89,6,0,9,0.82,0.0,1.65,0,0,0,1.0,0.0,1.0,495,0,645,82.5,0.0,71.67,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472,322.0,7.0,7.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,5.0,5.0,4.5,4.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2689,Cacace Liberato,DL,2.0,4.0,4.25,0.0,4.54,2,0,12,0.35,0.0,0.72,0,0,0,0.5,0.0,0.5,128,0,593,64.0,0.0,49.42,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7997,118.0,0.0,5.0,54.55,3.0,0.0,0.0,3.0,4.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.5,5.0,0.0,0.0,5.0,3.0,0.0,4.5,5.0,5.0,0.0,3.5,5.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
2690,Amione Bruno,DC,9.0,9.0,4.17,4.3,4.17,6,5,6,0.68,0.67,0.68,0,0,0,1.0,1.0,1.0,448,390,448,74.67,78.0,74.67,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7525,297.0,8.0,2.0,63.64,8.0,0.0,0.0,0.0,4.125,3.5,4.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
2691,Antov Valentin,DC,8.0,0.0,4.13,0.0,4.13,4,0,4,1.18,0.0,1.18,0,0,0,0.25,0.0,0.25,169,0,169,42.25,0.0,42.25,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8537,133.0,0.0,4.0,45.45,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
2692,Hien Isak,DC,9.0,9.0,4.13,4.25,4.13,12,2,12,0.68,0.35,0.68,0,0,0,0.67,0.5,0.67,880,135,880,73.33,67.5,73.33,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7018,527.0,15.0,12.0,57.02,19.0,0.0,0.0,0.0,4.166666666666667,4.0,4.5,0.0,4.0,3.0,4.5,3.5,3.5,4.5,3.5,4.5,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9
2693,Shomurodov Eldor,A,7.0,0.0,4.08,0.0,4.61,6,0,23,0.2,0.0,0.74,0,0,2,0.17,0.0,0.13,115,0,555,19.17,0.0,24.13,0.0,278.0,6.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6945,61.0,1.0,0.0,31.58,1.0,0.0,0.0,4.5,4.0,0.0,4.0,0.0,4.0,4.5,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,6.5,4.5,4.5,5.5,0.0,5.0,4.5,0.0,5.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,4.5,4.5,6.0,4.5,0.0,3.0,2,5
2694,Carboni Andrea,DC,8.0,0.0,4.0,0.0,4.36,4,0,18,0.82,0.0,0.87,0,0,0,0.25,0.0,0.61,164,0,1109,41.0,0.0,61.61,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8194,108.0,3.0,2.0,35.71,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,0.0,4.5,4.0,6.0,4.5,5.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,5.0,3.0,3.5,3.0,4.0,1,2
2695,Kristoffersen Julian,A,1.0,0.0,4.0,0.0,4.0,1,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,17,0,17,17.0,0.0,17.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
