,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI
166,4.89,5.0,4.74,9,7,21,0.99,0,0,1,1.0,1.0,0.86,621,493,1389,69.0,70.43,66.14,0.0,1389.0,6.5,4.333333333333333,5.0,4.0,0.0,4.5,4.5,0.0,7.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0.0,0.0,0.0,1.0,1.0,2.0,0.7246,224.0,7.0,3.0,39.39,8.0,0.0,0.0,0.0
167,4.88,0.0,5.04,8,0,12,0.23,0,0,0,0.25,0.0,0.42,268,0,483,33.5,0.0,40.25,0.0,0.0,0.0,5.0,4.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,0.0,5.0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.8891,252.0,1.0,3.0,43.24,3.0,0.0,0.0,0.0
168,4.88,4.0,4.88,8,1,8,0.74,0,0,0,0.5,1.0,0.5,331,57,331,41.38,57.0,41.38,0.0,0.0,0.0,5.0,4.857142857142857,4.0,0.0,6.0,0.0,4.5,4.5,5.5,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0.0,0.0,0.0,1.0,0.0,4.0,0.8176,182.0,0.0,7.0,31.48,5.0,0.0,0.0,0.0
169,4.86,0.0,5.0,7,0,16,0.24,0,0,1,0.14,0.0,0.56,144,0,785,20.57,0.0,49.06,0.0,785.0,7.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.8474,111.0,1.0,0.0,16.67,1.0,0.0,0.0,5.0
170,4.83,4.75,4.83,3,2,6,0.29,0,0,0,0.0,0.0,0.0,54,23,120,18.0,11.5,20.0,0.0,0.0,0.0,4.75,4.75,4.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8889,21.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0
171,4.83,0.0,4.83,3,0,3,0.29,0,0,0,0.0,0.0,0.0,10,0,10,3.33,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
172,4.81,0.0,4.75,13,0,22,0.63,0,0,1,0.54,0.0,0.68,739,0,1428,56.85,0.0,64.91,0.0,1428.0,7.0,5.333333333333333,4.9375,0.0,4.5,5.0,6.5,5.5,4.5,0.0,4.5,4.5,4.5,0.0,5.0,0.0,0.0,0.0,3,8,0.0,0.0,0.0,1.0,4.0,8.0,0.6467,289.0,0.0,5.0,49.48,10.0,0.0,0.0,4.5
173,4.81,0.0,4.91,16,0,27,0.57,0,0,0,0.31,0.0,0.52,421,0,1173,26.31,0.0,43.44,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,4.5,0.0,4.5,4.5,0.0,0.0,0.0,4.0,4.5,4.5,5.5,5.0,1,3,0.0,0.0,0.0,1.0,2.0,1.0,0.6715,209.0,2.0,0.0,44.23,3.0,0.0,0.0,5.5
174,4.8,0.0,4.8,15,0,15,0.37,0,0,0,0.33,0.0,0.33,535,0,535,35.67,0.0,35.67,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.0,5.5,5.0,4.5,5.0,5.5,4.5,5.0,0,4,0.0,0.0,0.0,0.0,0.0,7.0,0.712,295.0,6.0,9.0,57.61,1.0,0.0,0.0,0.0
175,4.79,0.0,4.9,7,0,10,0.27,0,0,1,0.29,0.0,0.4,163,0,365,23.29,0.0,36.5,0.0,365.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,4.5,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.8346,77.0,1.0,0.0,35.29,4.0,0.0,0.0,4.5
176,4.78,4.75,4.98,9,8,23,0.44,0,0,1,0.67,0.63,0.35,559,469,875,62.11,58.63,38.04,0.0,875.0,7.0,5.125,4.75,5.0,5.0,5.0,5.5,4.5,4.5,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,0.0,0.0,0.0,0.0,0.0,3.0,0.7688,314.0,1.0,6.0,39.36,8.0,0.0,0.0,0.0
