,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,Cleansheet,Pass decis.,Occas° créée,Passes,Ballons,Fautes,But évité,Action stoppée,DMI
55,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,6.31,6.31,5.63,13,13,23,1.18,1.0,1.0,1.0,1170,1170,2069,90.0,90.0,89.96,0.0,0.0,6.25,6.3,7.0,6.0,7.0,5.0,7.0,6.0,6.5,6.5,6.0,6.0,3.5,7.0,8.5,0.0,0.0,4,10,6.0,0.0,0.0,0.0,0.0,0.0,35.0,11.0,0.0
58,6.25,6.25,5.5,2,2,10,0.35,1.0,1.0,1.0,180,180,900,90.0,90.0,90.0,0.0,0.0,6.25,6.25,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
59,6.0,0.0,6.0,1,0,1,0.0,1.0,0.0,1.0,90,0,90,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
60,6.0,0.0,6.0,1,0,1,0.0,0.0,0.0,0.0,81,0,81,81.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
61,6.0,0.0,6.0,1,0,1,0.0,1.0,0.0,1.0,90,0,90,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
62,5.87,6.0,5.63,27,3,31,1.09,1.0,1.0,1.0,2430,270,2790,90.0,90.0,90.0,0.0,0.0,6.0,6.111111111111111,5.0,5.0,8.0,0.0,7.5,7.0,6.0,4.0,6.0,6.5,3.0,6.0,0.0,5.0,6.0,3,9,10.0,0.0,0.0,0.0,0.0,0.0,56.0,27.0,6.0
63,5.86,0.0,5.5,11,0,21,0.9,1.0,0.0,1.0,990,0,1890,90.0,0.0,90.0,0.0,0.0,6.0,6.125,0.0,0.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,4.5,4.0,0.0,0.0,2,8,5.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.0
64,5.8,5.8,5.8,25,25,25,1.0,1.0,1.0,1.0,2250,2250,2250,90.0,90.0,90.0,0.0,0.0,5.25,5.75,4.0,4.0,6.0,7.0,5.0,6.5,5.5,7.5,6.0,6.0,6.0,4.0,5.0,6.5,6.0,4,10,13.0,0.0,0.0,0.0,0.0,0.0,50.0,37.0,0.0
65,5.73,5.73,5.65,32,32,37,1.24,1.0,1.0,1.0,2880,2880,3330,90.0,90.0,90.0,0.0,0.0,6.0,5.6,5.5,6.5,8.0,4.0,4.0,5.0,4.0,8.0,5.5,5.5,6.0,5.5,6.0,6.0,5.5,4,10,12.0,0.0,0.0,0.0,0.0,0.0,62.0,40.0,5.0
66,5.66,5.66,5.66,32,32,32,0.73,1.0,1.0,1.0,2880,2880,2880,90.0,90.0,90.0,0.0,0.0,5.75,5.6,7.0,4.0,5.5,6.5,5.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,4.5,5.5,5.5,4,10,13.0,0.0,0.0,0.0,0.0,0.0,56.0,32.0,5.5
67,5.56,5.92,5.49,31,19,40,1.3,1.0,1.0,1.0,2789,1710,3599,89.97,90.0,89.98,0.0,0.0,5.375,5.65,5.0,4.5,7.0,5.0,7.0,6.0,6.0,5.0,4.0,7.0,6.0,4.0,6.0,7.0,7.0,4,10,9.0,0.0,0.0,0.0,0.0,0.0,72.0,42.0,5.75
68,5.52,5.52,5.43,26,26,34,0.95,1.0,1.0,1.0,2340,2340,3060,90.0,90.0,90.0,0.0,0.0,5.25,5.25,5.5,4.5,6.0,5.0,7.0,4.5,5.0,4.5,5.5,5.0,6.5,7.0,6.0,5.0,5.5,4,10,8.0,0.0,0.0,0.0,0.0,0.0,44.0,23.0,0.0
69,5.52,5.52,5.52,32,32,32,1.23,1.0,1.0,1.0,2880,2880,2880,90.0,90.0,90.0,0.0,0.0,5.875,5.4,6.0,6.0,6.5,5.0,6.5,2.0,6.0,6.0,5.0,5.0,4.0,7.0,5.5,5.0,5.0,4,10,8.0,0.0,0.0,0.0,0.0,0.0,68.0,32.0,5.5
70,5.5,5.63,5.59,30,24,40,1.16,1.0,1.0,1.0,2700,2160,3600,90.0,90.0,90.0,0.0,0.0,4.75,5.25,4.0,5.0,4.0,6.0,4.5,4.0,4.5,7.0,7.5,6.0,6.5,7.0,7.5,6.0,5.0,4,10,9.0,0.0,0.0,0.0,0.0,0.0,47.0,34.0,6.0
71,5.5,5.5,5.53,29,2,34,1.09,1.0,1.0,1.0,2565,180,3015,88.45,90.0,88.68,0.0,0.0,5.666666666666667,6.055555555555555,5.0,6.0,0.0,6.0,8.0,5.5,6.0,8.0,6.0,4.0,4.0,5.5,4.5,6.0,5.0,3,9,10.0,0.0,0.0,0.0,0.0,0.0,51.0,24.0,5.0
72,5.5,0.0,5.5,5,0,5,0.87,1.0,0.0,1.0,450,0,450,90.0,0.0,90.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0
73,5.5,0.0,5.5,7,0,7,1.41,1.0,0.0,1.0,630,0,630,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,0.0
